F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Label
28.202,23.936,40.848,10.059,17.06,25.529,5.9076,37.284,37.111,10.518,17.276,24.265,32.948,73.271,18.362,18.054,11.382,22.396,7.9101,20.419,21.253,39.997,27.968,7.591,34.763,35.804,36.631,23.987,42.987,20.629,34.552,18.177,37.819,29.511,24.833,1,Corona
12.104,29.317,17.284,8.1278,6.5718,18.197,15.34,22.521,47.58,11.072,8.9368,39.519,18.056,22.431,34.011,7.1458,26.503,18.896,11.857,19.923,4.9319,9.5492,22.458,35.526,6.3785,32.588,45.311,36.594,22.565,8.3368,8.11,8.7219,23.288,36.018,36.565,1,Corona
43.754,14.974,8.9232,41.505,16.918,17.732,19.687,33.29,27.468,32.416,8.8725,21.283,3.9271,26.168,18.646,15.727,13.728,10.995,21.867,9.6984,12.625,11.763,15.79,6.3927,11.324,30.874,16.28,5.1391,22.117,37.905,27.765,24.946,26.096,11.68,43.44,1,Corona
18.147,17.817,21.56,37.664,6.7873,38.688,17.022,47.86,41.603,17.359,42.614,24.174,23.289,35.737,42.353,20.18,11.183,39.31,29.099,14.436,29.449,36.631,18.723,22.203,32.768,16.781,12.441,32.566,34.779,24.033,40.223,24.524,36.146,23.401,40.024,1,Corona
38.375,41.741,28.462,46.205,26.557,9.518,28.993,36.387,45.394,29.161,6.0404,36.844,40.014,59.461,15.983,22.056,10.055,23.205,33.05,9.37,22.445,6.7479,5.3114,25.038,28.727,6.9067,47.16,41.045,29.919,29.355,44.562,26.769,8.8702,3.4824,11.052,1,Corona
27.496,21.959,15.088,23.903,2.3632,27.793,15.259,17.538,57.627,19.431,13.501,9.4061,26.718,8.7165,36.733,37.153,61.976,7.1036,24.568,47.082,3.5798,50.678,27.984,15.722,4.4068,26.28,16.009,5.3316,27.204,20.2,22.21,21.806,32.207,16.806,13.108,1,Corona
43.895,34.316,11.085,51.228,19.714,14.837,23.262,11.451,36.953,28.89,40.733,17.049,32.066,12.382,65.268,15.539,30.775,2.0385,14.774,35.717,24.096,20.24,71.977,16.512,25.567,47.265,24.531,79.085,21.533,12.615,21.554,0.99618,29.169,16.262,55.747,1,Corona
21.875,13.1,22.086,27.205,19.431,21.294,22.137,42.893,15.795,54.581,16.048,44.352,22.378,23.638,52.791,57.392,15.522,32.36,25.733,15.187,33.878,22.516,44.353,24.673,30.51,17.951,34.581,16.529,38.445,24.818,29.738,14.111,5.2349,29.777,18.497,1,Corona
18.739,34.69,1.8524,35.347,5.0076,13.544,28.614,16.231,25.642,30.801,56.006,2.1813,25.844,12.602,18.593,52.193,15.298,47.882,19.633,11.913,18.809,18.413,16.863,33.441,4.7585,25.552,10.687,6.2883,57.217,28.343,45.874,42.782,7.1322,36.671,32.634,1,Corona
0.9936,12.311,15.721,22.201,25.556,22.825,7.104,19.698,42.8,15.789,7.8487,18.734,20.616,2.2541,11.846,30.415,10.367,21.226,25.634,34.662,27.95,18.028,20.159,20.569,35.383,20.858,18.047,39.957,5.0974,33.182,52.793,8.4337,29.615,6.356,6.2797,1,Corona
61.727,36.553,24.448,28.047,25.405,21.637,15.016,20.229,28.96,10.988,12.559,20.962,19.71,47.783,22.638,9.1085,1.8787,2.3736,30.265,10.53,29.996,40.585,29.109,7.1697,33.237,42.77,22.9,21.226,27.465,35.815,23.909,58.523,32.678,28.152,18.18,1,Corona
13.838,11.092,20.24,29.064,16.235,25.03,11.729,16.557,10.622,54.004,42.953,27.258,28.88,8.1102,30.726,9.9247,7.9847,18.204,18.986,24.037,4.603,18.275,6.5887,29.194,18.105,28.845,1.0285,21.338,21.123,27.303,7.2696,19.782,12.981,26.68,9.9043,1,Corona
6.9411,59.489,39.083,14.442,4.2159,33.95,39.291,28.18,20.386,25.146,31.759,35.054,45.18,24.998,38.447,37.608,23.544,6.0862,16.389,23.254,15.724,9.9939,16.812,31.473,10.743,15.675,18.492,12.733,56.882,24.753,56.816,5.7435,45.688,24.332,38.718,1,Corona
7.8683,4.8956,11.673,9.5027,6.8431,15.862,34.28,25.115,70.11,22.12,15.918,13.232,35.338,4.7973,25.869,54.106,16.109,40.263,19.849,1.7557,56.195,9.8069,20.355,30.149,39.223,26.933,49.512,40.792,37.506,9.9333,16.458,23.508,33.664,42.123,7.8401,1,Corona
42.836,10.206,6.3904,18.341,31.1,27.536,33.555,26.093,12.683,11.263,51.576,30.864,26.409,25.664,25.142,38.822,20.302,13.318,2.8807,33.91,37.738,16.067,10.834,35.397,24.503,11.135,18.419,25.758,14.293,9.22,44.392,45.344,12.219,55.712,55.456,1,Corona
10.898,23.611,36.199,2.9033,20.525,24.482,30.536,21.163,20.858,33.239,43.616,29.284,46.845,41.035,31.279,9.5499,13.096,22.877,35.966,50.642,24.114,11.408,6.327,11.663,33.907,28.539,27.932,40.431,21.296,16.812,53.403,9.665,60.116,24.066,37.466,1,Corona
10.169,28.58,28.108,47.103,37.068,4.2265,29.647,5.8337,47.811,21.237,16.258,26.113,30.535,15.527,6.6862,16.979,31.153,8.463,20.6,28.954,44.991,7.9716,16.861,40.864,12.264,24.841,48.159,32.631,26.569,10.531,28.578,6.7122,16.056,6.6353,15.005,1,Corona
25.618,15.218,23.285,28.429,11.039,17.907,31.274,34.212,32.756,27.273,25.342,39.591,30.862,8.598,12.79,10.589,14.484,34.041,14.018,24.432,21.474,3.7738,36.925,5.5957,14.802,19.067,26.192,45.6,70.302,8.869,12.167,42.014,13.318,9.2293,37.301,1,Corona
0.85534,9.8947,32.942,39.972,66.424,9.5297,25.112,8.0212,50.139,41.227,5.0008,19.186,29.205,29.333,26.515,38.042,23.941,42.765,20.141,7.3892,3.0553,16.409,21.121,38.812,4.6335,10.545,8.4459,44.383,62.95,21.945,44.921,10.906,37.507,23.363,22.396,1,Corona
33.091,27.29,28.247,19.199,29.451,32.196,15.863,35.987,29.067,51.674,18.736,87.277,53.235,40.158,29.027,47.911,47.627,20.154,37.416,11.283,21.233,61.984,36.407,24.473,19.314,43.931,16.387,35.13,27.078,47.741,66.763,8.3786,61.802,40.281,9.6705,1,Corona
31.167,52.751,12.376,26.401,5.8995,12.719,27.551,4.8429,8.6441,21.656,39.827,23.426,40.982,9.0081,40.64,28.973,21.504,42.694,49.577,30.399,37.685,19.65,52.092,20.156,23.144,45.963,24.606,23.488,52.603,20.398,28.976,25.174,31.801,43.08,16,1,Corona
29.735,8.2754,13.365,21.199,36.299,44.908,17.412,10.676,5.3103,43.552,28.657,36.661,26.271,8.4063,38.658,24.068,48.129,29.167,45.803,32.031,33.308,8.649,32.889,8.2425,10.272,55.856,14.856,36.696,46.443,6.6457,17.526,49.186,68.101,47.593,12.517,1,Corona
4.7654,45.275,38.811,7.9497,26.51,5.2182,44.894,7.3742,12.245,13.253,29.841,35.928,34.859,39.574,46.678,31.73,21.462,3.4575,12.692,8.8461,33.212,22.718,33.089,38.61,9.1946,52.083,30.823,9.0041,7.922,8.7252,36.17,1.1159,49.145,27.697,12.543,1,Corona
19.444,86.171,43.407,30.979,22.201,73.272,49.786,33.024,23.132,31.68,32.368,34.013,32.769,32.253,25.631,17.13,39.259,41.149,33.531,42.257,22.075,42.148,21.295,31.37,39.804,19.395,14.609,36.942,28.547,19.524,9.2889,60.063,52.94,33.337,52.118,1,Corona
1.8689,8.1625,45.456,28.061,19.475,11.122,19.378,26.558,11.063,64.573,56.642,32.812,43.416,16.186,14.547,27.735,20.34,35.757,17.768,41.236,18.733,28.407,26.834,48.714,67.577,45.826,4.5661,54.345,18.951,24.959,19.541,26.97,44.755,0.72956,28.318,1,Corona
