F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,Label
0.55747,1.3361,3.4651,0.56243,2.9189,2.8683,4.7403,3.1816,4.204,3.0482,6.0008,5.2459,3.5953,2.5093,2.4129,0.61864,0.44545,2.3473,3.674,3.3706,2.0292,2.0344,1.9194,2.4389,5.1668,1.8047,1.3202,2.331,1.5508,1.7111,2.0068,1.9828,0.53979,1.9447,1.2265,1.7439,2.9759,2.3708,1.3912,0.66358,0.78217,1.0548,2.973,2.9992,0.77515,0.61113,1.8253,0.75501,2.7692,1,Corona
2.5522,2.4337,4.7652,0.91165,5.5129,4.2241,5.9375,4.6189,7.0062,4.8058,5.6091,5.9694,5.6092,4.8906,5.1709,4.77,1.1761,1.3838,2.2741,3.5154,5.0798,2.008,5.4727,1.8999,1.8927,0.91131,3.1634,2.6683,1.0659,2.2544,3.3867,3.7648,1.9399,1.4939,1.7943,1.7726,1.7053,1.0176,0.36929,2.457,0.82146,2.216,4.7136,0.6205,2.1691,0.54926,1.6501,2.053,2.21,1,Corona
0.83572,0.70486,3.8539,0.59631,4.2036,1.5612,4.2403,6.4523,5.4614,2.802,2.3577,1.4206,3.9506,6.4777,2.6551,1.7115,2.3809,4.7882,4.2743,3.7425,4.3606,1.451,4.4445,1.5221,1.4515,1.9146,0.78892,3.8221,2.9187,2.2917,1.5139,0.38345,4.0142,0.90205,2.1408,1.4268,3.3998,2.574,3.6746,0.83085,1.7389,0.98153,1.6378,5.7385,0.34634,5.052,4.1838,1.9219,2.1017,1,Corona
2.7778,1.9102,1.1707,3.7457,3.5107,1.8293,1.2053,0.45165,4.8836,3.7077,7.5073,6.9138,5.4694,5.9323,5.9712,5.3402,2.3453,3.3418,4.9387,4.0382,3.4405,3.5387,2.0134,2.782,1.0096,4.5977,0.77202,2.3119,2.7198,3.0562,1.0095,2.1229,0.65438,1.4909,2.4504,0.98355,2.5136,0.61002,1.3512,0.90797,0.41177,2.3642,0.80126,2.5841,0.85372,2.9445,1.4591,0.74421,3.2094,1,Corona
2.7189,2.396,0.53908,2.4712,5.7016,8.931,4.7368,3.9938,2.1405,5.6218,2.3486,1.7851,1.5435,2.1883,1.3107,0.23211,1.6498,1.4476,3.5356,2.0598,4.1924,0.7907,2.1644,2.5014,0.85136,2.3172,1.2687,3.1453,0.74117,2.596,1.3158,1.7656,2.31,1.1567,0.77407,1.1846,1.2748,1.9056,1.6843,0.73547,2.6389,1.5327,1.199,1.3435,0.84859,0.66134,2.1511,1.5259,1.137,1,Corona
0.545,2.9659,3.3562,0.64995,5.6958,1.834,3.3417,2.4555,4.9675,4.7212,5.8781,3.2382,4.0483,4.8685,3.0845,3.0532,1.1725,0.7521,2.0055,2.1468,1.4829,1.6325,3.2969,3.3951,0.62014,0.65724,2.4288,2.2091,0.36504,1.5516,1.6166,0.86867,3.0982,3.768,0.54542,1.1729,1.5621,2.0691,1.7713,2.3918,0.76804,2.3565,3.8518,1.313,1.2287,3.5231,2.4218,3.4874,1.5744,1,Corona
4.0736,3.2933,0.44886,2.323,3.6494,2.9812,3.3203,2.5837,4.5149,5.025,3.1891,5.0728,6.4756,6.9065,4.6704,2.9999,1.4888,0.46624,1.1392,3.8921,2.4492,2.2829,1.2853,0.23846,2.5668,0.89563,1.3003,1.6588,2.0893,3.4204,1.775,2.3171,3.6896,1.8175,2.1963,2.5754,2.314,2.8347,3.3276,2.5974,4.5399,5.4506,0.98711,2.249,1.6123,4.1744,3.5115,3.6696,2.7774,1,Corona
0.87289,5.0282,2.0796,0.50198,2.3971,1.5883,3.149,4.1579,4.3857,3.6423,3.2405,2.4969,4.7133,8.2917,4.7389,1.0585,4.6771,2.5198,1.3579,2.3418,3.3592,2.0882,0.29923,1.6678,1.5011,2.5351,2.4695,4.3288,0.58798,1.224,1.7311,3.6478,3.307,1.2021,1.69,2.528,1.2082,1.1934,2.8004,1.6904,1.0763,1.5635,3.3858,2.3648,1.3539,1.0685,1.7186,1.5162,2.4435,1,Corona
4.5109,1.7112,2.1614,3.1818,1.264,3.1941,5.7452,6.1536,4.0173,4.5507,1.8355,3.1022,4.3562,3.5329,1.8545,2.2589,2.8822,2.0164,2.0263,4.6181,1.5992,0.60371,2.4172,0.70277,3.1258,4.3539,2.0206,3.1268,2.6887,0.57137,0.8212,3.0456,1.7394,4.7612,0.55378,0.96664,4.4199,3.3774,0.50218,4.193,4.0075,2.6408,4.2338,1.6071,1.3654,0.86797,1.3297,3.1766,1.9822,1,Corona
2.9354,0.74663,1.8175,1.6652,7.2083,1.0855,4.3386,5.1369,6.3006,3.9309,5.719,3.669,4.2083,5.8441,4.3793,2.3896,1.6964,0.29577,2.0238,2.069,2.7353,1.7475,2.5439,2.3469,1.1223,2.2984,2.9948,2.123,1.6656,1.1411,0.95702,1.9679,3.1016,0.82958,4.4421,0.87255,5.6178,1.073,1.2748,2.3929,3.8649,0.44815,1.2093,3.9982,0.62831,1.944,1.4593,1.1304,1.5037,1,Corona
